private_entity,label,entity_type,wikidata_uri,confidence,status
http://volleyball-kg.org/ontology#Zagumny,Zagumny,PERSON,http://www.wikidata.org/entity/Q9385901,0.95,linked
http://volleyball-kg.org/ontology#Winiarski,Winiarski,PERSON,http://www.wikidata.org/entity/Q21493665,0.95,linked
http://volleyball-kg.org/ontology#Wlazły,Wlazły,PERSON,http://www.wikidata.org/entity/Q111803868,0.95,linked
http://volleyball-kg.org/ontology#World_League_2011,World League 2011,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Zbigniew_Bartman,Zbigniew Bartman,PERSON,http://www.wikidata.org/entity/Q167988,0.95,linked
http://volleyball-kg.org/ontology#Bartosz_Kurek,Bartosz Kurek,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Krzysztof_Ignaczak,Krzysztof Ignaczak,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#2012_Summer_Olympics,2012 Summer Olympics,EVENT,http://www.wikidata.org/entity/Q8577,0.95,linked
http://volleyball-kg.org/ontology#FIVB_World_Cup_2011,FIVB World Cup 2011,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Olympics,Olympics,EVENT,http://www.wikidata.org/entity/Q5389,0.8,linked
http://volleyball-kg.org/ontology#FIVB_World_Cup_1965,FIVB World Cup 1965,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Marcin_Możdżonek,Marcin Możdżonek,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Plebiscyt_Przeglądu_Sportowego_2011,Plebiscyt Przeglądu Sportowego 2011,EVENT,http://www.wikidata.org/entity/Q11819648,0.95,linked
http://volleyball-kg.org/ontology#FIVB_World_League_2012,FIVB World League 2012,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#London_Summer_Olympics,London Summer Olympics,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Michał_Winiarski,Michał Winiarski,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Plebiscyt_Przeglądu_Sportowego,Plebiscyt Przeglądu Sportowego,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#World_League_2013,World League 2013,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Jarosz,Jarosz,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Kurek,Kurek,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Jakub_Jarosz,Jakub Jarosz,PERSON,http://www.wikidata.org/entity/Q1341322,0.95,linked
http://volleyball-kg.org/ontology#Tsvetan_Sokolov,Tsvetan Sokolov,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Palace_of_Culture_and_Sports,Palace of Culture and Sports,ORG,http://www.wikidata.org/entity/Q7126225,0.95,linked
http://volleyball-kg.org/ontology#Varna,Varna,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Anastasi,Anastasi,PERSON,http://www.wikidata.org/entity/Q17446186,0.95,linked
http://volleyball-kg.org/ontology#World_Championship_2014,World Championship 2014,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Lotos_Trefl_Gdańsk,Lotos Trefl Gdańsk,ORG,http://www.wikidata.org/entity/Q3538317,0.95,linked
http://volleyball-kg.org/ontology#Stéphane_Antiga,Stéphane Antiga,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#CEV_European_Championship_2015,CEV European Championship 2015,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#FIVB_World_League,FIVB World League,EVENT,http://www.wikidata.org/entity/Q325022,0.8,linked
http://volleyball-kg.org/ontology#Hubert_Jerzy_Wagner,Hubert Jerzy Wagner,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Antiga,Antiga,PERSON,http://www.wikidata.org/entity/Q12472257,0.95,linked
http://volleyball-kg.org/ontology#Mariusz_Wlazły,Mariusz Wlazły,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Piotr_Nowakowski,Piotr Nowakowski,PERSON,http://www.wikidata.org/entity/Q121696896,0.95,linked
http://volleyball-kg.org/ontology#2014_World_Championship,2014 World Championship,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Group_F,Group F.,ORG,http://www.wikidata.org/entity/Q309961,0.8,linked
http://volleyball-kg.org/ontology#Pool_H,Pool H,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#World_Champion_2014,World Champion 2014,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Karol_Kłos,Karol Kłos,PERSON,http://www.wikidata.org/entity/Q771587,0.95,linked
http://volleyball-kg.org/ontology#European_Games,European Games,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Stephane_Antiga,Stephane Antiga,PERSON,http://www.wikidata.org/entity/Q1455049,0.95,linked
http://volleyball-kg.org/ontology#Łukasz_Kruczek,Łukasz Kruczek,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Mateusz_Mika,Mateusz Mika,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Michał_Kubiak,Michał Kubiak,PERSON,http://www.wikidata.org/entity/Q11778947,0.95,linked
http://volleyball-kg.org/ontology#Kłos,Kłos,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#World_League_2015,World League 2015,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Mateusz_Bieniek,Mateusz Bieniek,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Grzegorz_Łomacz,Grzegorz Łomacz,PERSON,http://www.wikidata.org/entity/Q9282217,0.95,linked
http://volleyball-kg.org/ontology#Piotr_Gacek,Piotr Gacek,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Wojciech_Grzyb,Wojciech Grzyb,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Pool_J,Pool J,ORG,http://www.wikidata.org/entity/Q1239131,0.8,linked
http://volleyball-kg.org/ontology#Paweł_Zatorski,Paweł Zatorski,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Włodarczyk,Włodarczyk,PERSON,http://www.wikidata.org/entity/Q42846316,0.95,linked
http://volleyball-kg.org/ontology#Wrona,Wrona,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Memorial,Memorial,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Dawid_Konarski,Dawid Konarski,PERSON,http://www.wikidata.org/entity/Q100944259,0.95,linked
http://volleyball-kg.org/ontology#World_Cup_2015,World Cup 2015,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#2016_Summer_Olympics,2016 Summer Olympics,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#World_Olympic_Qualification_Tournament,World Olympic Qualification Tournament,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Rio_Summer_Olympics,Rio Summer Olympics,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Group_B,Group B,ORG,http://www.wikidata.org/entity/Q132949,0.8,linked
http://volleyball-kg.org/ontology#Ferdinando_De_Giorgi,Ferdinando De Giorgi,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Federation,Federation,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Radostin_Stoychev,Radostin Stoychev,PERSON,http://www.wikidata.org/entity/Q962215,0.95,linked
http://volleyball-kg.org/ontology#Mauro_Berruto,Mauro Berruto,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#De_Giorgi,De Giorgi,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Łukasz_Kaczmarek,Łukasz Kaczmarek,PERSON,http://www.wikidata.org/entity/Q123286958,0.95,linked
http://volleyball-kg.org/ontology#Jakub_Kochanowski,Jakub Kochanowski,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Bartłomiej_Lemański,Bartłomiej Lemański,PERSON,http://www.wikidata.org/entity/Q20029565,0.95,linked
http://volleyball-kg.org/ontology#Artur_Szalpuk,Artur Szalpuk,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#European_Championships,European Championships,EVENT,http://www.wikidata.org/entity/Q869121,0.8,linked
http://volleyball-kg.org/ontology#Vital_Heynen,Vital Heynen,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Andrzej_Kowal,Andrzej Kowal,PERSON,http://www.wikidata.org/entity/Q85851080,0.95,linked
http://volleyball-kg.org/ontology#Heynen,Heynen,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#FIVB_Volleyball_World_Championship,FIVB Volleyball World Championship,EVENT,http://www.wikidata.org/entity/Q22669035,0.95,linked
http://volleyball-kg.org/ontology#European_Volleyball_Championship,European Volleyball Championship,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Nikola_Grbić,Nikola Grbić,PERSON,http://www.wikidata.org/entity/Q715898,0.95,linked
http://volleyball-kg.org/ontology#Poland_Volleyball_National_Team,Poland Volleyball National Team,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Volleyball_Olympic_Qualification_Tournament,Volleyball Olympic Qualification Tournament,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#2024_Summer_Olympics,2024 Summer Olympics,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#European_League,European League,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#World_University_Games,World University Games,EVENT,http://www.wikidata.org/entity/Q188158,0.95,linked
http://volleyball-kg.org/ontology#Hubert_Jerzy_Wagner_Memorial,Hubert Jerzy Wagner Memorial,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Łukasz_Kadziewicz,Łukasz Kadziewicz,PERSON,http://www.wikidata.org/entity/Q1758609,0.95,linked
http://volleyball-kg.org/ontology#Kadziu_Project,Kadziu Project,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Olympics_in,Olympics in,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#Kadziewicz,Kadziewicz,PERSON,http://www.wikidata.org/entity/Q111796201,0.95,linked
http://volleyball-kg.org/ontology#Igłą_Szyte,Igłą Szyte,PERSON,,0.0,new_entity
http://volleyball-kg.org/ontology#Ignaczak,Ignaczak,PERSON,http://www.wikidata.org/entity/Q37526361,0.95,linked
http://volleyball-kg.org/ontology#Drużyna,Drużyna,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#CEV_European_Championship,CEV European Championship,EVENT,,0.0,new_entity
http://volleyball-kg.org/ontology#PKN_Orlen,PKN Orlen,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Plus,Plus,ORG,http://www.wikidata.org/entity/Q623742,0.8,linked
http://volleyball-kg.org/ontology#Adidas,Adidas,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Okocim_Brewery,Okocim Brewery,ORG,http://www.wikidata.org/entity/Q3536948,0.95,linked
http://volleyball-kg.org/ontology#Deloitte,Deloitte,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Kinder,Kinder +,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Sport,Sport,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Dynamic_Parcel_Distribution,Dynamic Parcel Distribution,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Jurajska,Jurajska,ORG,http://www.wikidata.org/entity/Q11729472,0.95,linked
http://volleyball-kg.org/ontology#SMJ_sport,SMJ sport,ORG,,0.0,new_entity
http://volleyball-kg.org/ontology#Italian_Volleyball_Federation,Italian Volleyball Federation,ORG,http://www.wikidata.org/entity/Q1107068,0.95,linked
http://volleyball-kg.org/ontology#World_Championships,World Championships,EVENT,,0.0,new_entity
